trial_id,rmse,timestamp,checkpoint_dir_name,done,training_iteration,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,experiment_tag,config/mf_dim,config/mlp_layers,config/dropout,config/lr,config/weight_decay,config/batch_size
d6172_00016,0.8763542243847444,1733929890,,True,1,2024-12-11_16-11-30,142.6944432258606,142.6944432258606,4076621,das8gpu6,10.36.97.83,142.6944432258606,1,"16_batch_size=512,dropout=0.1000,lr=0.0050,mf_dim=4,mlp_layers=8_4,weight_decay=0.0010",4,"[8, 4]",0.1,0.005,0.001,512
d6172_00017,0.8793167808835513,1733929906,,True,1,2024-12-11_16-11-46,157.29748821258545,157.29748821258545,4076624,das8gpu6,10.36.97.83,157.29748821258545,1,"17_batch_size=1024,dropout=0.1000,lr=0.0050,mf_dim=4,mlp_layers=8_4,weight_decay=0.0010",4,"[8, 4]",0.1,0.005,0.001,1024
d6172_00018,0.8765440988212341,1733929950,,True,1,2024-12-11_16-12-30,201.4473922252655,201.4473922252655,4076636,das8gpu6,10.36.97.83,201.4473922252655,1,"18_batch_size=2048,dropout=0.1000,lr=0.0050,mf_dim=4,mlp_layers=8_4,weight_decay=0.0010",4,"[8, 4]",0.1,0.005,0.001,2048
d6172_00019,0.8732049850837071,1733929973,,True,1,2024-12-11_16-12-53,225.74127745628357,225.74127745628357,4076638,das8gpu6,10.36.97.83,225.74127745628357,1,"19_batch_size=4096,dropout=0.1000,lr=0.0050,mf_dim=4,mlp_layers=8_4,weight_decay=0.0010",4,"[8, 4]",0.1,0.005,0.001,4096
d6172_00020,0.8929640457471796,1733929850,,True,1,2024-12-11_16-10-50,102.04206418991089,102.04206418991089,4076635,das8gpu6,10.36.97.83,102.04206418991089,1,"20_batch_size=512,dropout=0.1500,lr=0.0050,mf_dim=4,mlp_layers=8_4,weight_decay=0.0010",4,"[8, 4]",0.15,0.005,0.001,512
d6172_00021,0.8767085479726309,1733929944,,True,1,2024-12-11_16-12-24,195.9226634502411,195.9226634502411,4076637,das8gpu6,10.36.97.83,195.9226634502411,1,"21_batch_size=1024,dropout=0.1500,lr=0.0050,mf_dim=4,mlp_layers=8_4,weight_decay=0.0010",4,"[8, 4]",0.15,0.005,0.001,1024
d6172_00022,0.8791707376675582,1733929934,,True,1,2024-12-11_16-12-14,182.10824990272522,182.10824990272522,4076643,das8gpu6,10.36.97.83,182.10824990272522,1,"22_batch_size=2048,dropout=0.1500,lr=0.0050,mf_dim=4,mlp_layers=8_4,weight_decay=0.0010",4,"[8, 4]",0.15,0.005,0.001,2048
d6172_00023,0.8729771102426548,1733930030,,True,1,2024-12-11_16-13-50,282.03257393836975,282.03257393836975,4076634,das8gpu6,10.36.97.83,282.03257393836975,1,"23_batch_size=4096,dropout=0.1500,lr=0.0050,mf_dim=4,mlp_layers=8_4,weight_decay=0.0010",4,"[8, 4]",0.15,0.005,0.001,4096
d6172_00024,0.8858443965495956,1733929855,,True,1,2024-12-11_16-10-55,102.65379309654236,102.65379309654236,4076670,das8gpu6,10.36.97.83,102.65379309654236,1,"24_batch_size=512,dropout=0.2000,lr=0.0050,mf_dim=4,mlp_layers=8_4,weight_decay=0.0010",4,"[8, 4]",0.2,0.005,0.001,512
d6172_00025,0.8815178293569904,1733929975,,True,1,2024-12-11_16-12-55,226.8866810798645,226.8866810798645,4076642,das8gpu6,10.36.97.83,226.8866810798645,1,"25_batch_size=1024,dropout=0.2000,lr=0.0050,mf_dim=4,mlp_layers=8_4,weight_decay=0.0010",4,"[8, 4]",0.2,0.005,0.001,1024
