,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,split4_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,split0_test_mae,split1_test_mae,split2_test_mae,split3_test_mae,split4_test_mae,mean_test_mae,std_test_mae,rank_test_mae,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_k,param_sim_options,param_verbose
0,1.141365906032436,1.1475369381401568,1.138234563884125,1.1425152082430396,1.1525154149484984,1.1444336062496512,0.005029223845713269,76,0.8880157447610504,0.8929245946251932,0.8879753353203962,0.893428973728193,0.9003105700134499,0.8925310436896566,0.004530443547291656,46,18.74097008705139,0.5564141576224219,1.742676067352295,0.4569128484535953,"{'k': 20, 'sim_options': {'name': 'msd', 'min_support': 1, 'user_based': True}, 'verbose': False}",20,"{'name': 'msd', 'min_support': 1, 'user_based': True}",False
1,1.0836840823066647,1.078658048913126,1.0771586357289187,1.070834601680615,1.077836865233246,1.0776344467725143,0.004102465456151954,6,0.8101654526511392,0.8057127469070579,0.8087081593637008,0.8038431773910977,0.8033161642788852,0.8063491401183761,0.002683766051666679,2,28.699273014068602,0.18696143692033754,3.7750303745269775,0.07545957768917577,"{'k': 20, 'sim_options': {'name': 'msd', 'min_support': 1, 'user_based': False}, 'verbose': False}",20,"{'name': 'msd', 'min_support': 1, 'user_based': False}",False
2,1.1420013249779868,1.1495660989239795,1.144223748231172,1.1455715297975593,1.1532282444497708,1.1469181892760938,0.004001931549137246,84,0.9001523400552689,0.9081799876140294,0.9061377389887753,0.9098217961442517,0.9116236269584423,0.9071830979521536,0.003954722416796169,52,17.64443473815918,0.537514157016973,1.912642812728882,0.235033101262919,"{'k': 20, 'sim_options': {'name': 'msd', 'min_support': 2, 'user_based': True}, 'verbose': False}",20,"{'name': 'msd', 'min_support': 2, 'user_based': True}",False
3,1.0953327158757338,1.0937193154365488,1.086178238668845,1.0864801265797779,1.0928511097352385,1.0909123012592288,0.0038271110064634992,12,0.8417062705733455,0.8419027771557783,0.8404246285251744,0.8402807751695186,0.8420170919688135,0.841266308678526,0.0007539278371735977,9,27.66271014213562,0.11628256313645807,2.850713348388672,0.08425255166227916,"{'k': 20, 'sim_options': {'name': 'msd', 'min_support': 2, 'user_based': False}, 'verbose': False}",20,"{'name': 'msd', 'min_support': 2, 'user_based': False}",False
4,1.1372885203934935,1.1468416138579023,1.139729892970113,1.139280511447011,1.1427448631185437,1.1411770803574128,0.003327374524249576,74,0.9040605296842215,0.9148604341606572,0.9097980142185361,0.9105878957376194,0.9105901821616118,0.9099794111925293,0.0034535125019389207,61,16.086081790924073,0.3219781922314091,1.9863072395324708,0.1775039951920678,"{'k': 20, 'sim_options': {'name': 'msd', 'min_support': 3, 'user_based': True}, 'verbose': False}",20,"{'name': 'msd', 'min_support': 3, 'user_based': True}",False
5,1.0965646773264932,1.0979840737380613,1.0927051893823923,1.0896919866394033,1.0966299218409679,1.0947151697854636,0.003067411833102543,15,0.8607091708261893,0.8632220636502985,0.8634091932046982,0.8612293892761826,0.8651155096240903,0.8627370653162918,0.0015955826341853777,21,27.132750415802,0.1989939537853412,3.074926328659058,0.1820113570456507,"{'k': 20, 'sim_options': {'name': 'msd', 'min_support': 3, 'user_based': False}, 'verbose': False}",20,"{'name': 'msd', 'min_support': 3, 'user_based': False}",False
6,1.1354184369459235,1.1402695019195292,1.1360975798762463,1.1329203636860692,1.13848345010591,1.1366378665067356,0.0025374672376812734,69,0.9077215449076039,0.9140492620623007,0.9121834966640746,0.9103719817492075,0.9128670560427437,0.9114386682851862,0.0022074912067436905,68,17.319172954559328,0.682619226343116,2.235186147689819,0.1029680799805928,"{'k': 20, 'sim_options': {'name': 'msd', 'min_support': 4, 'user_based': True}, 'verbose': False}",20,"{'name': 'msd', 'min_support': 4, 'user_based': True}",False
7,1.101414019227707,1.098209280028253,1.0937345083820942,1.0929230772978116,1.099703648701656,1.0971969067275045,0.0033270561510385156,31,0.8758361725208756,0.8732496914963165,0.8735199195053515,0.8740646024220051,0.875409758920182,0.8744160289729461,0.0010287043124989016,29,25.353351640701295,0.320846563274746,3.3802835941314697,0.11623636117307233,"{'k': 20, 'sim_options': {'name': 'msd', 'min_support': 4, 'user_based': False}, 'verbose': False}",20,"{'name': 'msd', 'min_support': 4, 'user_based': False}",False
8,1.132671800389005,1.1364838404929252,1.1327793116107454,1.131710325582894,1.1354767161000459,1.133824398835123,0.0018271715012858902,57,0.9086953747252233,0.9143180427923706,0.9123043746514242,0.9121266545193528,0.9130279793965409,0.9120944852169824,0.0018662615169492095,78,15.10732479095459,0.5416897695937815,2.0939040660858153,0.2486877732261576,"{'k': 20, 'sim_options': {'name': 'msd', 'min_support': 5, 'user_based': True}, 'verbose': False}",20,"{'name': 'msd', 'min_support': 5, 'user_based': True}",False
9,1.1030177952480136,1.1017482205392803,1.095141744892737,1.094948099968034,1.1015580469194484,1.099282781513503,0.003496947190034595,42,0.8827607300259358,0.8814627670132046,0.8797899203725739,0.8811535681849174,0.8819581183846086,0.8814250207962481,0.0009815270630584893,39,24.919324779510497,0.5034394745831625,3.2640323638916016,0.6259449729236763,"{'k': 20, 'sim_options': {'name': 'msd', 'min_support': 5, 'user_based': False}, 'verbose': False}",20,"{'name': 'msd', 'min_support': 5, 'user_based': False}",False
