,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,split4_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,split0_test_mae,split1_test_mae,split2_test_mae,split3_test_mae,split4_test_mae,mean_test_mae,std_test_mae,rank_test_mae,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_n_factors,param_n_epochs,param_lr_all,param_reg_all
43,0.9004534839814173,0.8971657735540454,0.8984338572908038,0.905063994606673,0.9081628145866188,0.9018559848039116,0.004141098299825646,98,0.6866445762172613,0.6857787988953488,0.6857225057990854,0.6909101177438421,0.6927471856045694,0.6883606368520213,0.0029090255951226417,82,8.570165777206421,0.14491445737320297,0.8424779415130615,0.06986650220055905,"{'n_factors': 2, 'n_epochs': 90, 'lr_all': 0.0075, 'reg_all': 0.1}",2,90,0.0075,0.1
44,0.8972954128813128,0.8958070340085257,0.8957524727597079,0.9027989682099166,0.9047042235517994,0.8992716222822524,0.0037482933372969636,69,0.6853303778407701,0.6865845831837796,0.6837169660525981,0.6891058441116896,0.6914358833587341,0.6872347309095141,0.002741337950023965,64,8.703034400939941,0.03995204715939946,0.7322932720184326,0.019295794695369885,"{'n_factors': 2, 'n_epochs': 90, 'lr_all': 0.0075, 'reg_all': 0.12}",2,90,0.0075,0.12
45,0.8934381189290137,0.8883668931235182,0.8931342609032774,0.8978892435891602,0.9001749795763236,0.8946006992242586,0.004104862927726239,21,0.6821469264587199,0.6796390524642506,0.6815909917920695,0.6860301170539471,0.6883485701457461,0.6835511315829467,0.0031710909413288427,21,9.714213228225708,0.20258453019218056,0.7597896099090576,0.05079410159280595,"{'n_factors': 2, 'n_epochs': 100, 'lr_all': 0.0025, 'reg_all': 0.08}",2,100,0.0025,0.08
46,0.8938758923875278,0.888853114242279,0.8923748419329568,0.8979789904029967,0.9007419494088558,0.8947649576749231,0.00418347749323386,25,0.6834308709051122,0.6812454166508572,0.6819223491319609,0.6868736073659604,0.6896766644382979,0.6846297816984377,0.0031851933688172786,33,9.677164840698243,0.20228909147860777,0.8546262264251709,0.054206610745003096,"{'n_factors': 2, 'n_epochs': 100, 'lr_all': 0.0025, 'reg_all': 0.1}",2,100,0.0025,0.1
47,0.8941638632527567,0.8887117995774774,0.8931607976614737,0.8988787248281943,0.9011410636242312,0.8952112497888265,0.004385368646288587,29,0.6841683404125442,0.6816447001892847,0.6832128487669327,0.6881588988847969,0.6909658479689232,0.6856301272444962,0.0034271937923158447,41,9.857765340805054,0.1763470819998967,0.7627499580383301,0.016187977489672243,"{'n_factors': 2, 'n_epochs': 100, 'lr_all': 0.0025, 'reg_all': 0.12}",2,100,0.0025,0.12
48,0.8935370995251524,0.8897975371548399,0.8935828223638401,0.8999546185116315,0.9020894387566504,0.8957923032624228,0.00453616036067688,34,0.6808280976203533,0.6799013679694336,0.6811855410345431,0.6864119732477953,0.6880764731183358,0.6832806905980922,0.0033054242224096982,17,9.60217113494873,0.12227383881010126,0.7411292552947998,0.025872239974864323,"{'n_factors': 2, 'n_epochs': 100, 'lr_all': 0.005, 'reg_all': 0.08}",2,100,0.005,0.08
49,0.8936290918594543,0.8890969688957914,0.8930033242580642,0.8977359023041361,0.9011932181018795,0.8949317010838651,0.004160040084686756,26,0.6816628111869384,0.680660391572288,0.6816747423332157,0.6855979881471105,0.6887343344024297,0.6836660535283963,0.003047364314883848,26,9.545251560211181,0.1460059004083387,0.7789963722229004,0.07070184792833686,"{'n_factors': 2, 'n_epochs': 100, 'lr_all': 0.005, 'reg_all': 0.1}",2,100,0.005,0.1
50,0.8926183773959083,0.8884635433765496,0.8917260662799347,0.8978035630916371,0.8995876022268074,0.8940398304741674,0.004084420791996342,17,0.6817251443780482,0.6807065382595933,0.6814660437150304,0.6859014716967597,0.6883041868193928,0.6836206769737648,0.002961924434857767,24,9.499056673049926,0.11726961094490139,0.7964740753173828,0.049835020941590064,"{'n_factors': 2, 'n_epochs': 100, 'lr_all': 0.005, 'reg_all': 0.12}",2,100,0.005,0.12
51,0.9069696800244151,0.903276908506793,0.9069881435957091,0.9131101117141824,0.9127325829632887,0.9086154853608777,0.0037685402472777143,142,0.6891421263823697,0.689446015833721,0.6905779451453337,0.6953064707877864,0.6950852269192864,0.6919115570136996,0.002724877250463836,128,9.615607643127442,0.22518319366661124,0.7642561912536621,0.027964560985629317,"{'n_factors': 2, 'n_epochs': 100, 'lr_all': 0.0075, 'reg_all': 0.08}",2,100,0.0075,0.08
52,0.902475749654633,0.8976783376891411,0.9021646700019001,0.9082826738617796,0.9088973134685648,0.9038997489352036,0.004193564424820588,117,0.6877358168975928,0.6869986850846325,0.6883695975455324,0.6914922007188322,0.6932121110024647,0.689561682249811,0.0023822819452261382,97,9.798411464691162,0.20022471137938516,0.7917479515075684,0.03139168530101541,"{'n_factors': 2, 'n_epochs': 100, 'lr_all': 0.0075, 'reg_all': 0.1}",2,100,0.0075,0.1
53,0.9004995456156433,0.8975096316487196,0.8988290853404239,0.9056857583617786,0.9085018021845022,0.9022051646302135,0.00419802941362719,100,0.6862516960903602,0.6868082975666779,0.686023855366587,0.6920731589525695,0.6943769906903594,0.6891067997333108,0.003450028252978733,92,9.730821180343629,0.14396873028614932,0.7961336135864258,0.040577034249806555,"{'n_factors': 2, 'n_epochs': 100, 'lr_all': 0.0075, 'reg_all': 0.12}",2,100,0.0075,0.12
54,0.8985868428794452,0.8932586367526235,0.8964729554233518,0.9033056120306896,0.9055478188696694,0.8994343731911559,0.0044718839788125166,71,0.6871051334273963,0.6839084721986773,0.6847483048800387,0.6909562388852403,0.6933099414139475,0.6880056181610601,0.0036069259884958316,76,8.716076612472534,0.08571319022467015,0.7450608730316162,0.016620719987624374,"{'n_factors': 3, 'n_epochs': 80, 'lr_all': 0.0025, 'reg_all': 0.08}",3,80,0.0025,0.08
55,0.8986098668338702,0.8934650469067674,0.8970535086416691,0.9034525332620645,0.9056215236636502,0.8996404958616043,0.004386232815847011,75,0.6877547155852266,0.6849421111095112,0.6858046946316877,0.6917771543485263,0.6943027980786309,0.6889162947507167,0.0035783904988829166,88,8.688492822647095,0.3338201693315366,0.836778211593628,0.0965755254746755,"{'n_factors': 3, 'n_epochs': 80, 'lr_all': 0.0025, 'reg_all': 0.1}",3,80,0.0025,0.1
