,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,split4_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,split0_test_mae,split1_test_mae,split2_test_mae,split3_test_mae,split4_test_mae,mean_test_mae,std_test_mae,rank_test_mae,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_n_factors,param_n_epochs,param_lr_all,param_reg_all
59,0.8926224777323979,0.8983548804519313,0.881878716074278,0.8894530646354274,0.8901591105016525,0.8904936498791374,0.0053243341903767005,13,0.6827554368815594,0.6850289085996495,0.6724129943878381,0.6847513908278888,0.6819479638899741,0.6813793389173819,0.004632545890583912,34,0.6589188575744629,0.04654746408354294,0.09430537223815919,0.011332143362897411,"{'n_factors': 3, 'n_epochs': 80, 'lr_all': 0.005, 'reg_all': 0.12}",3,80,0.005,0.12
60,0.8966842148577332,0.9015626402831153,0.8875886918407601,0.8946472448881277,0.8941874925730893,0.8949340568885651,0.004507664091784163,97,0.6836125012889244,0.6849068614454842,0.6753438934722097,0.6868308917087036,0.6815897978222117,0.6824567891475066,0.003945028691424227,66,0.6347432613372803,0.01793413008304622,0.10328412055969238,0.0028278733212234704,"{'n_factors': 3, 'n_epochs': 80, 'lr_all': 0.0075, 'reg_all': 0.08}",3,80,0.0075,0.08
61,0.8941949982179392,0.9005734544002769,0.8846949441257387,0.891447824909482,0.8915933096952362,0.8925009062697346,0.005116673484515971,58,0.6825284498062433,0.6855801001092882,0.6739073739634952,0.6849700786654443,0.6811378287565655,0.6816247662602073,0.004182049184108144,45,0.6204891204833984,0.04981109171256366,0.1110422134399414,0.013173367323605597,"{'n_factors': 3, 'n_epochs': 80, 'lr_all': 0.0075, 'reg_all': 0.1}",3,80,0.0075,0.1
62,0.8938989150466717,0.9006774012412457,0.8845389293462076,0.8913104968317317,0.8908629247424086,0.892257733441653,0.0052154955293371415,55,0.6834679586923813,0.6860596836856887,0.6745550361319155,0.6857427757679452,0.6818656241329739,0.6823382156821809,0.004183727989051393,63,0.6507481575012207,0.02145543680129856,0.10541753768920899,0.02134237789296821,"{'n_factors': 3, 'n_epochs': 80, 'lr_all': 0.0075, 'reg_all': 0.12}",3,80,0.0075,0.12
63,0.8984030619199855,0.9027887459190239,0.8864260413471837,0.8940010708076978,0.8947716898142358,0.8952781219616254,0.005411494920020457,103,0.6863914444313716,0.6880215118684311,0.6755542950230625,0.6877378257261555,0.6850847216740246,0.684557959744609,0.004621966326574094,107,0.8564136028289795,0.043299263168583575,0.10582671165466309,0.021753778252254836,"{'n_factors': 3, 'n_epochs': 90, 'lr_all': 0.0025, 'reg_all': 0.08}",3,90,0.0025,0.08
64,0.89875841622075,0.9029394460837205,0.8868591566324943,0.894418904808839,0.8954203985946687,0.8956792644680945,0.0053224286345703985,113,0.6875010769274833,0.688835190484547,0.6766048556853546,0.6887713571897897,0.6866232743578462,0.6856671509290042,0.004605979218301719,126,0.7817458152770996,0.033670781635268106,0.09175496101379395,0.024095301735027094,"{'n_factors': 3, 'n_epochs': 90, 'lr_all': 0.0025, 'reg_all': 0.1}",3,90,0.0025,0.1
65,0.8989615590998342,0.9033303385690181,0.8869653751469131,0.8945210424875999,0.8958593976537256,0.8959275425914182,0.005409435756846211,117,0.6884725783011401,0.6900654870711654,0.6773508848381088,0.6895440851177596,0.687662164769505,0.6866190400195358,0.0047086367449339864,141,0.7318770885467529,0.005173770473112733,0.11237702369689942,0.006989786410604246,"{'n_factors': 3, 'n_epochs': 90, 'lr_all': 0.0025, 'reg_all': 0.12}",3,90,0.0025,0.12
66,0.8926282414704657,0.8990884299136306,0.8830369523806897,0.8904608127438718,0.8899670653045884,0.8910363003626494,0.005154320217871138,28,0.6813414551396743,0.6839386737715217,0.6719288878397878,0.6838350087019219,0.6799867338032126,0.6802061518512236,0.00440341865554337,8,0.7554964542388916,0.017088380836666646,0.11997876167297364,0.012066347773415706,"{'n_factors': 3, 'n_epochs': 90, 'lr_all': 0.005, 'reg_all': 0.08}",3,90,0.005,0.08
67,0.8926897868147206,0.8981897343243009,0.882104585768848,0.8895184159293958,0.8900385309479522,0.8905082107570435,0.005207423245250792,14,0.6822361319559451,0.6839557713166983,0.6720855478037527,0.6839774789289156,0.6806438556391049,0.6805797571288833,0.0044236017784745115,15,0.8172377586364746,0.04059916075569646,0.11538047790527343,0.013648874819352296,"{'n_factors': 3, 'n_epochs': 90, 'lr_all': 0.005, 'reg_all': 0.1}",3,90,0.005,0.1
68,0.8925613414399335,0.8983619767116617,0.8821861199005947,0.8895492590663343,0.8897223988887397,0.8904762192014527,0.005228501751616213,10,0.682785111461348,0.6848959355080535,0.6726778043659808,0.6849657021161351,0.6813166105659104,0.6813282328034855,0.004536788032103346,31,0.7493024349212647,0.06407829099452413,0.10315237045288086,0.021382062313928363,"{'n_factors': 3, 'n_epochs': 90, 'lr_all': 0.005, 'reg_all': 0.12}",3,90,0.005,0.12
69,0.8981777335642437,0.9046802229193397,0.8893359657878018,0.8952476209151565,0.8972891173736719,0.8969461321120427,0.004944698441984744,132,0.6851111558208136,0.6871820743990379,0.676323463275591,0.6865774189451529,0.684330364592049,0.6839048954065289,0.003924193817444711,91,0.7195577144622802,0.04559528909020943,0.11156549453735351,0.02364593405175425,"{'n_factors': 3, 'n_epochs': 90, 'lr_all': 0.0075, 'reg_all': 0.08}",3,90,0.0075,0.08
70,0.8958853269217519,0.9021362239148775,0.8873699853988968,0.8940701535987641,0.8941683502389502,0.8947260080146482,0.0047139689423978245,94,0.6837233917280655,0.6857607291619754,0.6759582697651554,0.6869874275251392,0.6827433255376693,0.683034628743601,0.0038390194085670707,77,0.7467854022979736,0.027128333372728283,0.10477404594421387,0.015150600000947454,"{'n_factors': 3, 'n_epochs': 90, 'lr_all': 0.0075, 'reg_all': 0.1}",3,90,0.0075,0.1
71,0.8950401206345407,0.9013337533423925,0.8858953367667524,0.8929356985637598,0.8924578813235629,0.8935325581262017,0.004959228028197649,70,0.6839053705187246,0.6862466660022074,0.6754498875132529,0.6868280451476882,0.6822822490728244,0.6829424436509395,0.004086985853858935,74,0.7381828784942627,0.055572482025113966,0.12174983024597168,0.012972224379305227,"{'n_factors': 3, 'n_epochs': 90, 'lr_all': 0.0075, 'reg_all': 0.12}",3,90,0.0075,0.12
