,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,split4_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,split0_test_mae,split1_test_mae,split2_test_mae,split3_test_mae,split4_test_mae,mean_test_mae,std_test_mae,rank_test_mae,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_n_factors,param_n_epochs,param_biased
0,0.9856877871412099,0.9761356458956689,0.9769357073524001,0.9826345414253075,0.9826157877908791,0.980801893921093,0.0036672068287090264,3,0.7598932416520314,0.7550287317047859,0.753964994192209,0.7609908717129614,0.7580648658767076,0.7575885410277391,0.002712825090569691,6,0.08448491096496583,0.001761276484919659,0.09212288856506348,0.0067272486356834416,"{'n_factors': 1, 'n_epochs': 7, 'biased': True}",1,7,True
1,2.3569685319393097,2.3391666299876444,2.327878015350397,2.3239119052122716,2.327361687163056,2.335057353930536,0.012099364347117728,30,2.16472530259839,2.1439642068992013,2.1320320188109823,2.1244435475154693,2.131187600493624,2.1392705352635333,0.014195388364570183,30,0.08529858589172364,0.0004652983831020235,0.079534912109375,0.009421169253669185,"{'n_factors': 1, 'n_epochs': 7, 'biased': False}",1,7,False
2,0.9824563810773748,0.9729998362048025,0.9746038204924838,0.9811407512729275,0.9800668612023725,0.9782535300499922,0.003747261717304632,2,0.7524520516438251,0.7457285158235675,0.7452510390807318,0.7534473866503888,0.7503347646047155,0.7494427515606458,0.003383923080930514,2,0.11635560989379883,0.0017389864233454452,0.07660079002380371,0.008142254456632303,"{'n_factors': 1, 'n_epochs': 10, 'biased': True}",1,10,True
3,1.4330847625896357,1.4184507795495394,1.428249875513798,1.4360534146203683,1.4232232811416365,1.4278124226829956,0.006396928378948511,27,1.1258275822987642,1.1159058600116933,1.1237733870615583,1.1313062603276849,1.120288984030711,1.1234204147460822,0.00518420672428012,27,0.1173184871673584,0.0010479644597494373,0.07347064018249512,0.008645444485500314,"{'n_factors': 1, 'n_epochs': 10, 'biased': False}",1,10,False
4,0.9825548929015729,0.9716919087214579,0.9750207467585797,0.9811931202544469,0.9805677599105422,0.9782056857093199,0.004147116821652987,1,0.7498810833322715,0.7425971031947228,0.7423570499317387,0.7513842546720146,0.7475820624939634,0.7467603107249422,0.003701793020006741,1,0.1393977642059326,0.0026033112263852865,0.07817411422729492,0.007907227840461262,"{'n_factors': 1, 'n_epochs': 12, 'biased': True}",1,12,True
5,1.3969563537196175,1.381787687050155,1.3907500248284235,1.397106857578255,1.3841899869179326,1.3901581820188764,0.006332993718578813,26,1.092263614802454,1.0817543671782601,1.0892151851596665,1.0951419998114156,1.083729614382192,1.0884209562667977,0.005040264858878635,26,0.13560152053833008,0.00046134018466756235,0.06470389366149902,0.0018221735735526982,"{'n_factors': 1, 'n_epochs': 12, 'biased': False}",1,12,False
6,0.9959235543969367,0.9843528247511077,0.9844876446989604,0.9910571393386065,0.9910088636074439,0.9893660053586111,0.004415670940710435,6,0.765766172811019,0.7594287496740141,0.7572427771667999,0.7645251240045277,0.7619156432445997,0.7617756933801921,0.0031482806408589786,12,0.09717988967895508,0.0013616020803311644,0.09074702262878417,0.005259110113610106,"{'n_factors': 2, 'n_epochs': 7, 'biased': True}",2,7,True
7,1.845125348477711,1.8902846897844963,1.8556219460015348,1.8600591407365492,1.8597141191597577,1.8621610488320097,0.015062002624326321,29,1.6175886270988025,1.6621963396848862,1.6280504846452417,1.6292021929114326,1.6284981461314179,1.6331071580943561,0.015159597491966112,29,0.09774446487426758,0.001095263221606604,0.07504038810729981,0.010567197996558239,"{'n_factors': 2, 'n_epochs': 7, 'biased': False}",2,7,False
8,0.9940408107472883,0.9818786233030372,0.9839430357971816,0.98938083085973,0.9908038488036406,0.9880094299021757,0.004476369579362454,4,0.7584355498435111,0.7514475588307703,0.751699510989599,0.7584004369828029,0.7564533701999312,0.7552872853693229,0.0031170069262288205,4,0.1337886333465576,0.0013462915006007966,0.08098220825195312,0.007769608518068196,"{'n_factors': 2, 'n_epochs': 10, 'biased': True}",2,10,True
9,1.3469156426776023,1.3296975659343289,1.3391640294766975,1.3506212711660248,1.3367270992901483,1.3406251217089604,0.007432825876089343,25,1.0405406076923147,1.0288804048329379,1.0354749701023196,1.0475867811837958,1.034694799789363,1.0374355127201462,0.006280684228558604,24,0.13323254585266114,0.0007923937571421947,0.07926344871520996,0.006095160601439398,"{'n_factors': 2, 'n_epochs': 10, 'biased': False}",2,10,False
10,0.992298884821931,0.9840911339094517,0.9852269496696666,0.9909743297644943,0.9915451582753687,0.9888272912881824,0.00344796123320689,5,0.7547883170639205,0.7505307527588766,0.7494162455165286,0.7571574351787312,0.754810182395001,0.7533405865826115,0.002902398577864664,3,0.1592771053314209,0.0016637152029161256,0.07866597175598145,0.005893429455258334,"{'n_factors': 2, 'n_epochs': 12, 'biased': True}",2,12,True
11,1.309792227455045,1.2974366642406119,1.3032157569157001,1.3053294410001124,1.2985279947439108,1.302860416871076,0.004526793981473432,23,1.004317090775831,0.9966993549131083,0.999215888528068,1.0035320656134954,0.9970995905313214,1.000172798072365,0.0031901388142767293,23,0.1604315757751465,0.0014292615627464747,0.07576961517333984,0.0071460996521626316,"{'n_factors': 2, 'n_epochs': 12, 'biased': False}",2,12,False
