,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,split4_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,split0_test_mae,split1_test_mae,split2_test_mae,split3_test_mae,split4_test_mae,mean_test_mae,std_test_mae,rank_test_mae,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_k,param_sim_options,param_verbose
0,0.9984496836237109,1.0031339617411124,1.0042724305108546,0.9927565004216898,1.0085511533833496,1.0014327459361434,0.005400103059577651,85,0.7703881484052814,0.7730342019795886,0.7749646215237017,0.7635813856769598,0.7757298714853148,0.7715396458141692,0.004385932024365645,82,13.537601327896118,2.40334314690364,1.805165433883667,0.2746650444149214,"{'k': 20, 'sim_options': {'name': 'msd', 'min_support': 1, 'user_based': True}, 'verbose': False}",20,"{'name': 'msd', 'min_support': 1, 'user_based': True}",False
1,0.9639080502289868,0.9741874632895753,0.9751143697950835,0.9616592299118483,0.9734289562734115,0.9696596138997811,0.005684194798161193,54,0.7267560993491322,0.7325779944351567,0.734490712201778,0.7235449986542958,0.7318433360738507,0.7298426281428426,0.004056514355124943,45,25.130046987533568,0.2515972707707618,2.681923770904541,0.186496174395695,"{'k': 20, 'sim_options': {'name': 'msd', 'min_support': 1, 'user_based': False}, 'verbose': False}",20,"{'name': 'msd', 'min_support': 1, 'user_based': False}",False
2,0.9919264172489285,0.9956670050523425,1.0003685754369398,0.9866611474921726,1.0049710922618644,0.9959188474984495,0.006378889359512752,79,0.76851716431568,0.7699948013140469,0.7732784826966165,0.7624458719506282,0.775470350883297,0.7699413342320537,0.00447033910338114,79,13.499081802368163,0.5890906711410892,1.4078136444091798,0.17045160175827032,"{'k': 20, 'sim_options': {'name': 'msd', 'min_support': 2, 'user_based': True}, 'verbose': False}",20,"{'name': 'msd', 'min_support': 2, 'user_based': True}",False
3,0.9549530627042907,0.9565677303999407,0.9617492393005216,0.9493363271132658,0.9639862060088715,0.9573185131053782,0.00517617207509739,39,0.72622801523318,0.7287118490009747,0.7326962956961511,0.7213856863219288,0.7346001620762123,0.7287244016656894,0.0046987093606147,34,22.008714151382446,0.4369465377100708,2.81224045753479,0.22232844295236018,"{'k': 20, 'sim_options': {'name': 'msd', 'min_support': 2, 'user_based': False}, 'verbose': False}",20,"{'name': 'msd', 'min_support': 2, 'user_based': False}",False
4,0.9804661987839008,0.9845695261433951,0.9876067550637562,0.9769587572439453,0.993520215824982,0.984624290611996,0.005728624760195829,74,0.7625436809265,0.7627555609557645,0.7675059065579863,0.7574860873648268,0.769307358180914,0.7639197187971982,0.0041599941801295,75,12.489192962646484,1.0744569369357095,1.4809996604919433,0.06155451761090131,"{'k': 20, 'sim_options': {'name': 'msd', 'min_support': 3, 'user_based': True}, 'verbose': False}",20,"{'name': 'msd', 'min_support': 3, 'user_based': True}",False
5,0.9441965512550156,0.9481957714871525,0.9511976630167567,0.9372606471631457,0.9555167642443627,0.9472734794332865,0.006227774578292495,25,0.7245251573274147,0.7272853739064733,0.7297800520021946,0.7168595660841904,0.7336559675685359,0.7264212233777618,0.0056460670565891555,22,22.171265888214112,0.45387611549234336,3.209148120880127,0.18308462233932593,"{'k': 20, 'sim_options': {'name': 'msd', 'min_support': 3, 'user_based': False}, 'verbose': False}",20,"{'name': 'msd', 'min_support': 3, 'user_based': False}",False
6,0.9726830644465998,0.9767360056413241,0.9817657193205742,0.9703409980108996,0.9844813870111303,0.9772014348861056,0.005320306105301998,63,0.7568165011388176,0.7573906865305046,0.7636881238700857,0.7525779917335199,0.764538719606587,0.759002404575903,0.004500125302396705,63,13.981184673309325,1.0196915158096211,1.6675182342529298,0.1630240543243689,"{'k': 20, 'sim_options': {'name': 'msd', 'min_support': 4, 'user_based': True}, 'verbose': False}",20,"{'name': 'msd', 'min_support': 4, 'user_based': True}",False
7,0.9394513623905594,0.9429005283919806,0.9453572474149071,0.9327927586764233,0.949710370421238,0.9420424534590218,0.005705991738449748,16,0.7245535672300241,0.7261611864960115,0.7284607930963469,0.7167726038635063,0.7324725943960336,0.7256841490163844,0.005190648513696072,10,22.267898845672608,0.24056487091489287,2.888966941833496,0.20267800087218568,"{'k': 20, 'sim_options': {'name': 'msd', 'min_support': 4, 'user_based': False}, 'verbose': False}",20,"{'name': 'msd', 'min_support': 4, 'user_based': False}",False
8,0.9674146085362073,0.9720815126710078,0.9770354763271135,0.9651957424165737,0.9792705395555478,0.97219957590129,0.0053916230398869495,57,0.7529598067680873,0.754946639792593,0.7603486277685118,0.7489284622380835,0.7612602335439511,0.7556887540222453,0.004614222340649938,57,13.258572006225586,0.7532590781238864,1.7180107593536378,0.2040455848408541,"{'k': 20, 'sim_options': {'name': 'msd', 'min_support': 5, 'user_based': True}, 'verbose': False}",20,"{'name': 'msd', 'min_support': 5, 'user_based': True}",False
9,0.9374784209725097,0.9409449558151561,0.9441563686992293,0.9305359724905661,0.946529132830672,0.9399289701616267,0.005598193799406968,7,0.7251748703858426,0.7262170851519588,0.7295595316455673,0.7170169885072255,0.7309730408586866,0.7257883033098562,0.004870313825567131,19,20.20583062171936,0.36565677392882956,2.8607311248779297,0.1718802913373606,"{'k': 20, 'sim_options': {'name': 'msd', 'min_support': 5, 'user_based': False}, 'verbose': False}",20,"{'name': 'msd', 'min_support': 5, 'user_based': False}",False
